E,Impl 1 (Floyd-Warshall),Impl 2 (Dijkstra),Impl 3 (Bellman-Ford)
5,3964,3952,3984
20,3796,3856,3968
50,3864,3992,3848
100,3828,3824,3800
200,3780,3952,3896
