R,Impl 1 (State struct BFS),Impl 2 (Integer-encoded BFS),Impl 3 (Prebuilt state graph)
2,3964,3820,3844
3,3808,3712,3880
4,3992,3864,3836
5,3860,3848,3848
6,3964,4004,3972
7,3972,3788,3948
8,3844,3980,4180
9,3972,3960,4484
10,4092,4096,5312
