V,Impl 1 (On-the-fly BFS),Impl 2 (Adjacency list),Impl 3 (Pattern map)
10,1.5645,1.38,1.4091
20,1.6132,1.4244,1.4992
40,1.7612,1.4093,1.6122
60,1.7739,1.3556,1.5638
80,2.169,1.3999,1.6194
100,2.3635,1.703,1.6731
130,2.8317,1.4998,1.6651
160,3.4386,1.3287,1.6935
200,4.1249,1.8797,1.8995
